cal_pool_relative,cal_frac_total,runs,audit_pass_rate,mean_sscs,mean_size,violation_runs
0.05,0.0125,180,0.8333333333333334,0.9829639827224715,3.2777777777777777,6
0.1,0.025,180,0.8611111111111112,0.9922045046013456,3.938888888888889,2
0.2,0.05,180,0.6111111111111112,0.9958631235284001,4.338888888888889,0
0.5,0.125,180,0.6166666666666667,0.9968764278913937,4.283333333333333,0
1.0,0.25,180,0.43333333333333335,0.9969836607222935,4.261111111111111,0
