trigger_min_classes,method,runs,mean_coverage,std_coverage,mean_sscs,std_sscs,mean_sscs_target_deficit,mean_worst_bin_violation,violation_runs,mean_size,std_size,datasets,models,seeds
3,rank_audit_consistency_floor3,180,0.9972305743025405,0.004493140229801205,0.9972305743025405,0.004493140229801205,0.0,0.0,0,4.533333333333333,1.4157928074909185,20,catboost+lgbm+rf,0+1+2
3,rank_global_floor3_safe,180,0.9914417586431056,0.009238951735398244,0.9914417586431056,0.009238951735398244,0.0,0.0,0,3.8333333333333335,0.9000310360880831,20,catboost+lgbm+rf,0+1+2
3,rank_global_floor3_ultrasafe,180,0.9974054011355997,0.0043958522418870135,0.9974054011355997,0.0043958522418870135,0.0,0.0,0,4.561111111111111,1.4109067922482215,20,catboost+lgbm+rf,0+1+2
4,rank_audit_consistency_floor3,180,0.9971276936441044,0.004466485507306312,0.9971276936441044,0.004466485507306312,0.0,0.0,0,4.333333333333333,1.727205900714703,20,catboost+lgbm+rf,0+1+2
4,rank_global_floor3_safe,180,0.9913388779846694,0.009160875734781193,0.9913388779846694,0.009160875734781193,0.0,0.0,0,3.6333333333333333,1.2277062229346243,20,catboost+lgbm+rf,0+1+2
4,rank_global_floor3_ultrasafe,180,0.9973025204771635,0.004372742178365832,0.9973025204771635,0.004372742178365832,0.0,0.0,0,4.361111111111111,1.7264420379759,20,catboost+lgbm+rf,0+1+2
5,rank_audit_consistency_floor3,180,0.9969836607222937,0.004495306816902524,0.9969836607222937,0.004495306816902524,0.0,0.0,0,4.261111111111111,1.8166329247033033,20,catboost+lgbm+rf,0+1+2
5,rank_global_floor3_safe,180,0.9910919644044225,0.009068711206293862,0.9910919644044225,0.009068711206293862,0.0,0.0,0,3.5388888888888888,1.3427391702059872,20,catboost+lgbm+rf,0+1+2
5,rank_global_floor3_ultrasafe,180,0.9971584875553527,0.0044079255595648615,0.9971584875553527,0.0044079255595648615,0.0,0.0,0,4.288888888888889,1.8170172897253267,20,catboost+lgbm+rf,0+1+2
6,rank_audit_consistency_floor3,180,0.9965796203182532,0.005835708342078952,0.9965796203182532,0.005835708342078952,0.0,0.000161290322580645,1,4.205555555555556,1.8721636937879336,20,catboost+lgbm+rf,0+1+2
6,rank_global_floor3_safe,180,0.9903549647785338,0.009520000825712235,0.9903549647785338,0.009520000825712235,0.0,0.000161290322580645,1,3.433333333333333,1.4381086275316641,20,catboost+lgbm+rf,0+1+2
6,rank_global_floor3_ultrasafe,180,0.9967955994146869,0.0057907879793529125,0.9967955994146869,0.0057907879793529125,0.0,0.000161290322580645,1,4.2444444444444445,1.8599640238673152,20,catboost+lgbm+rf,0+1+2
8,rank_audit_consistency_floor3,180,0.9965796203182532,0.005835708342078952,0.9965796203182532,0.005835708342078952,0.0,0.000161290322580645,1,4.205555555555556,1.8721636937879336,20,catboost+lgbm+rf,0+1+2
8,rank_global_floor3_safe,180,0.9903549647785338,0.009520000825712235,0.9903549647785338,0.009520000825712235,0.0,0.000161290322580645,1,3.433333333333333,1.4381086275316641,20,catboost+lgbm+rf,0+1+2
8,rank_global_floor3_ultrasafe,180,0.9967955994146869,0.0057907879793529125,0.9967955994146869,0.0057907879793529125,0.0,0.000161290322580645,1,4.2444444444444445,1.8599640238673152,20,catboost+lgbm+rf,0+1+2
