module,passed_runs,mean_classes,mean_size,mean_labels_saved,mean_relative_reduction,test_violations
External20,103,4.116504854368932,2.2427184466019416,1.8737864077669903,0.4551548774849746,0
Hard20,111,5.828828828828829,3.90990990990991,1.9189189189189189,0.37069569569569566,0
TabICL119,108,7.212962962962963,3.509259259259259,3.7037037037037037,0.5059156378600823,0
