module,cardinality_group,runs,tasks,coverage,violations,dmax,dmean,size,pass_rate,fallback_rate
External20,K=2--3,150,10,0.9992222222222221,0,0.0,0.0,2.6466666666666665,0.22,0.78
External20,K=4--5,135,9,0.99906133812283,0,0.0,0.0,3.362962962962963,0.4074074074074074,0.5925925925925926
External20,K=6--10,15,1,0.9979012345679013,0,0.0,0.0,3.4,1.0,0.0
Hard20,K=2--3,30,2,0.9990123456790123,0,0.0,0.0,1.5,0.8333333333333334,0.16666666666666666
Hard20,K=4--5,165,11,0.999057239057239,0,0.0,0.0,4.496969696969697,0.2909090909090909,0.7090909090909091
Hard20,K=6--10,105,7,0.9972604626266091,0,0.0,0.0,7.0476190476190474,0.3619047619047619,0.638095238095238
TabICL119,K=2--3,96,32,0.9997299382716048,0,0.0,0.0,2.2708333333333335,0.15625,0.84375
TabICL119,K=4--5,126,42,0.9997060552616108,0,0.0,0.0,4.444444444444445,0.15873015873015872,0.8412698412698413
TabICL119,K=6--10,135,45,0.9972220739419358,0,0.0,0.0,5.7407407407407405,0.5407407407407407,0.45925925925925926
