comparison,blocking,module,runs,blocks,delta_coverage,delta_coverage_ci_low,delta_coverage_ci_high,changed_coverage,delta_sscs,delta_sscs_ci_low,delta_sscs_ci_high,changed_sscs,delta_dmax,delta_dmax_ci_low,delta_dmax_ci_high,changed_dmax,delta_dmean,delta_dmean_ci_low,delta_dmean_ci_high,changed_dmean,delta_violation_run,delta_violation_run_ci_low,delta_violation_run_ci_high,changed_violation_run,delta_avg_size,delta_avg_size_ci_low,delta_avg_size_ci_high,changed_avg_size,delta_forced_uncertified_fallback,delta_forced_uncertified_fallback_ci_low,delta_forced_uncertified_fallback_ci_high,changed_forced_uncertified_fallback
dense confidence-certified minus dense empirical-zero,task,External20,300,20,0.0008073084011168437,-2.7021369851801828e-05,0.0018255991766628545,24,0.0008073084011168437,-2.7021369851801828e-05,0.0018255991766628545,24,-0.000111111111111111,-0.000333333333333333,0.0,1,-3.7037037037036996e-05,-0.00011111111111111101,0.0,1,-0.0033333333333333335,-0.01,0.0,1,0.08666666666666667,0.006666666666666665,0.18333333333333332,35,0.07666666666666666,0.01,0.15333333333333335,33
dense confidence-certified minus dense empirical-zero,task,Hard20,300,20,0.0014027555166850221,-0.0003253421724538253,0.004141597594922367,81,0.0014027555166850221,-0.0003253421724538253,0.004141597594922367,81,-0.00019444444444444433,-0.0005833333333333331,0.0,2,-6.481481481481467e-05,-0.00019444444444444397,0.0,2,-0.006666666666666667,-0.02,0.0,2,0.66,0.03333333333333334,1.5166666666666666,109,0.22,0.056666666666666664,0.41,96
dense confidence-certified minus dense empirical-zero,task,TabICL119,357,119,0.0026991662961975186,0.0015116965131625976,0.004011547783796903,73,0.0026991662961975186,0.0015116965131625976,0.004011547783796903,73,-0.0006997041619723434,-0.0015333900235035218,-0.00010185892538833698,5,-0.00023323472065744767,-0.0005111300078345066,-3.395297512944566e-05,5,-0.014005602240896359,-0.028011204481792715,-0.0028011204481792717,5,0.7450980392156863,0.45938375350140054,1.0588235294117645,111,0.25770308123249297,0.18487394957983191,0.33333333333333337,100
