comparison,blocking,module,runs,blocks,delta_coverage,delta_coverage_ci_low,delta_coverage_ci_high,changed_coverage,delta_sscs,delta_sscs_ci_low,delta_sscs_ci_high,changed_sscs,delta_dmax,delta_dmax_ci_low,delta_dmax_ci_high,changed_dmax,delta_dmean,delta_dmean_ci_low,delta_dmean_ci_high,changed_dmean,delta_violation_run,delta_violation_run_ci_low,delta_violation_run_ci_high,changed_violation_run,delta_avg_size,delta_avg_size_ci_low,delta_avg_size_ci_high,changed_avg_size,delta_forced_uncertified_fallback,delta_forced_uncertified_fallback_ci_low,delta_forced_uncertified_fallback_ci_high,changed_forced_uncertified_fallback
dense confidence-certified minus dense empirical-zero,source_family,External20,300,20,0.0008073084011168437,-2.466910841833816e-05,0.0017979316425725364,24,0.0008073084011168437,-2.466910841833816e-05,0.0017979316425725364,24,-0.000111111111111111,-0.000333333333333333,0.0,1,-3.7037037037036996e-05,-0.00011111111111111101,0.0,1,-0.0033333333333333335,-0.01,0.0,1,0.08666666666666667,0.003333333333333335,0.18,35,0.07666666666666666,0.009999999999999998,0.15000000000000002,33
dense confidence-certified minus dense empirical-zero,source_family,Hard20,300,16,0.0014027555166850221,-0.00014150929516601078,0.005201573571516645,81,0.0014027555166850221,-0.00014150929516601078,0.005201573571516645,81,-0.00019444444444444433,-0.0007291666666666663,0.0,2,-6.481481481481467e-05,-0.00024305555555555498,0.0,2,-0.006666666666666667,-0.025,0.0,2,0.66,0.12083333333333333,1.9,109,0.22,0.10625,0.5062500000000001,96
dense confidence-certified minus dense empirical-zero,source_family,TabICL119,357,76,0.0026991662961975186,0.0015894755759114922,0.0048611905718681184,73,0.0026991662961975186,0.0015894755759114922,0.0048611905718681184,73,-0.0006997041619723434,-0.0023498989968545833,-0.00013043830536180285,5,-0.00023323472065744767,-0.0007832996656181939,-4.3479435120600956e-05,5,-0.014005602240896359,-0.035486443381180226,-0.0043859649122807015,5,0.7450980392156863,0.4894005847953217,1.2590726342371081,111,0.25770308123249297,0.215708067517278,0.405402711323764,100
